time,x,y,z
1669191292.775015, -0.002137, -0.002553, 0.011000
1669191293.776109, -0.003406, -0.006785, 0.010000
1669191294.777935, -0.073656, -0.039255, 0.009000
1669191295.777138, -0.179741, -0.103298, 0.009000
1669191296.778401, -0.303555, -0.180911, -0.002000
1669191297.778218, -0.461742, -0.256833, 0.007000
1669191298.777684, -0.724403, -0.398859, 0.006000
1669191299.777245, -1.022826, -0.559328, 0.006000
1669191300.776743, -1.322092, -0.716639, -0.013000
1669191301.777600, -1.692937, -0.914165, -0.014000
1669191302.778114, -2.055560, -1.103138, -0.009000
1669191303.779548, -2.438791, -1.307852, -0.014000
1669191304.779475, -2.810355, -1.530148, -0.004000
1669191305.779563, -3.246590, -1.791112, -0.011000
1669191306.781242, -3.696541, -2.075886, -0.002000
1669191307.781691, -4.153265, -2.336687, -0.005000
1669191308.779189, -4.593349, -2.604059, -0.024000
1669191309.780378, -5.043597, -2.871073, -0.003000
1669191310.780134, -5.503784, -3.150865, -0.034000
1669191311.780181, -5.946176, -3.413204, -0.025000
1669191312.780479, -6.393534, -3.686185, -0.019000
1669191313.782842, -6.857053, -3.950755, -0.020000
1669191314.782696, -7.343526, -4.166481, -0.012000
1669191315.782867, -7.852949, -4.315422, -0.029000
1669191316.782058, -8.363786, -4.459531, -0.040000
1669191317.779415, -8.953717, -4.672579, -0.034000
1669191318.783086, -9.609920, -4.868599, -0.061000
1669191319.783028, -10.221791, -5.069993, -0.060000
1669191320.783038, -10.926856, -5.236703, -0.064000
1669191321.780501, -11.568480, -5.366759, -0.057000
1669191322.780601, -12.284010, -5.541984, -0.066000
1669191323.781508, -13.106526, -5.728527, -0.086000
1669191324.781460, -13.934401, -5.834159, -0.108000
1669191325.780928, -14.750870, -5.910947, -0.114000
1669191326.781109, -15.566355, -5.903233, -0.139000
1669191327.782164, -16.400575, -5.862465, -0.142000
1669191328.783257, -17.209566, -5.806959, -0.149000
1669191329.781299, -18.016979, -5.693593, -0.135000
1669191330.785491, -18.842692, -5.530351, -0.212000
1669191331.785032, -19.635022, -5.356578, -0.194000
1669191332.787962, -20.406599, -5.096787, -0.216000
1669191333.787673, -21.168074, -4.841051, -0.219000
1669191334.788640, -21.903755, -4.519542, -0.234000
1669191335.786575, -22.640352, -4.110908, -0.250000
1669191336.789609, -23.278343, -3.646983, -0.231000
1669191337.788557, -23.894736, -3.100198, -0.234000
1669191338.787724, -24.441480, -2.485794, -0.237000
1669191339.791118, -24.939130, -1.816368, -0.232000
1669191340.786845, -25.347416, -1.107584, -0.211000
1669191341.786824, -25.667156, -0.363496, -0.187000
1669191342.787957, -25.893385, 0.426353, -0.205000
1669191343.787222, -26.047621, 1.227928, -0.185000
1669191344.787339, -26.171411, 2.052105, -0.196000
1669191345.787244, -26.279362, 2.848827, -0.179000
1669191346.788258, -26.382591, 3.677095, -0.169000
1669191347.788675, -26.470917, 4.502151, -0.173000
1669191348.787257, -26.484477, 5.334817, -0.173000
1669191349.786672, -26.394514, 6.168688, -0.191000
1669191350.787084, -26.204663, 6.956850, -0.188000
1669191351.788717, -25.949967, 7.705629, -0.167000
1669191352.787899, -25.653305, 8.468308, -0.156000
1669191353.789451, -25.334783, 9.214711, -0.125000
1669191354.791598, -25.077817, 9.991563, -0.115000
1669191355.789437, -24.915896, 10.790925, -0.093000
1669191356.788697, -24.727810, 11.589658, -0.093000
1669191357.790098, -24.550704, 12.376001, -0.057000
1669191358.789927, -24.448357, 13.190428, -0.033000
1669191359.791520, -24.584342, 13.983371, -0.025000
1669191360.789983, -24.888500, 14.623071, -0.008000
1669191361.788908, -25.396709, 15.163584, 0.001000
1669191362.787518, -26.092844, 15.479615, -0.030000
1669191363.787647, -26.820938, 15.542628, -0.036000
1669191364.787977, -27.543607, 15.387315, -0.081000
1669191365.788472, -28.215730, 15.037322, -0.186000
1669191366.789280, -28.741372, 14.513774, -0.275000
1669191367.789043, -29.129967, 13.904308, -0.346000
1669191368.787703, -29.488259, 13.247168, -0.441000
1669191369.788674, -29.880337, 12.661619, -0.524000
1669191370.788830, -30.268900, 12.036432, -0.589000
1669191371.787828, -30.664271, 11.477201, -0.666000
1669191372.790407, -31.091135, 10.851369, -0.732000
1669191373.790866, -31.519652, 10.260334, -0.803000
1669191374.791533, -31.911916, 9.699201, -0.891000
1669191375.793565, -32.262032, 9.056718, -0.932000
1669191376.791240, -32.553735, 8.392531, -0.996000
1669191377.800176, -32.823468, 7.736109, -1.043000
1669191378.794578, -33.108052, 7.086042, -1.044000
1669191379.794495, -33.359147, 6.435038, -1.065000
1669191380.792379, -33.545171, 5.731517, -1.073000
1669191381.794661, -33.703195, 5.029740, -1.067000
1669191382.795436, -33.859532, 4.321646, -1.093000
1669191383.795636, -34.042526, 3.602723, -1.105000
1669191384.793781, -34.149143, 2.907103, -1.109000
1669191385.795532, -34.171770, 2.189716, -1.113000
1669191386.794230, -34.142001, 1.466262, -1.117000
1669191387.794505, -34.092981, 0.757833, -1.114000
1669191388.794228, -34.026491, -0.040591, -1.125000
1669191389.789616, -33.872228, -0.787608, -1.130000
