time,x,y,z
1669186296.906211, 0.000188, 0.011094, -0.018000
1669186297.006223, 0.000376, 0.022187, -0.067000
1669186297.107199, 0.018320, 0.021883, -0.141000
1669186297.202190, 0.045235, 0.021427, -0.169999
1669186297.305192, 0.054207, 0.021274, -0.179998
1669186297.406858, 0.063179, 0.021122, -0.158998
1669186297.512521, 0.089906, 0.009573, -0.170997
1669186297.606479, 0.098878, 0.009420, -0.155997
1669186297.708415, 0.125605, -0.002129, -0.171995
1669186297.805182, 0.152520, -0.002586, -0.170994
1669186297.906188, 0.161304, -0.013831, -0.206994
1669186298.006178, 0.170088, -0.025077, -0.250994
1669186298.102176, 0.187843, -0.036475, -0.293993
1669186298.203177, 0.187843, -0.036475, -0.336993
1669186298.303178, 0.196815, -0.036627, -0.387992
1669186298.403173, 0.214571, -0.048024, -0.450992
1669186298.510172, 0.232702, -0.037235, -0.492991
1669186298.605212, 0.241674, -0.037387, -0.493991
1669186298.703172, 0.259618, -0.037691, -0.548990
1669186298.804385, 0.250834, -0.026446, -0.634991
1669186298.904428, 0.233078, -0.015048, -0.688991
1669186299.001168, 0.215511, 0.007443, -0.734992
1669186299.105313, 0.188219, -0.014288, -0.782993
1669186299.205188, 0.160928, -0.036018, -0.876994
1669186299.303157, 0.133448, -0.068842, -0.952994
1669186299.404379, 0.106533, -0.068386, -1.066995
1669186299.510152, 0.098314, -0.023860, -1.128996
1669186299.605299, 0.081122, 0.020818, -1.148997
1669186299.705306, 0.081498, 0.043005, -1.126998
1669186299.829156, 0.081686, 0.054099, -1.101998
1669186299.903165, 0.081874, 0.065192, -1.100998
1669186300.004370, 0.073091, 0.076438, -1.053998
1669186300.106136, 0.064307, 0.087683, -1.093999
1669186300.205340, 0.064307, 0.087683, -1.149999
1669186300.305632, 0.081686, 0.054099, -1.163998
1669186300.404706, 0.071774, -0.001217, -1.123997
1669186300.509156, 0.088778, -0.056988, -1.047996
1669186300.605179, 0.123160, -0.146345, -1.004994
1669186300.705519, 0.166515, -0.235853, -0.972991
1669186300.801290, 0.201085, -0.314116, -0.950989
1669186300.904469, 0.218465, -0.347701, -0.920988
1669186301.003118, 0.244816, -0.381438, -0.829987
1669186301.103928, 0.280327, -0.404233, -0.764985
1669186301.203201, 0.306490, -0.449063, -0.782984
1669186301.303925, 0.332653, -0.493894, -0.802983
1669186301.402095, 0.350032, -0.527478, -0.845982
1669186301.508458, 0.376384, -0.561215, -0.926980
1669186301.604360, 0.429838, -0.584315, -0.998978
1669186301.701130, 0.501236, -0.607719, -1.060975
1669186301.803085, 0.573575, -0.575655, -1.103973
1669186301.904604, 0.646289, -0.521404, -1.168971
1669186302.003078, 0.719004, -0.467153, -1.232969
1669186302.103080, 0.819010, -0.391172, -1.213966
1669186302.205121, 0.901449, -0.292699, -1.238964
1669186302.303071, 0.983323, -0.227507, -1.289962
1669186302.403067, 1.065198, -0.162315, -1.343960
1669186302.510080, 1.129129, -0.096819, -1.390958
1669186302.600452, 1.183524, -0.064451, -1.484956
1669186302.702062, 1.237919, -0.032083, -1.581955
1669186302.802295, 1.273806, -0.032691, -1.647953
1669186302.902065, 1.327448, -0.044697, -1.688951
1669186303.001060, 1.389875, -0.067949, -1.697949
1669186303.101248, 1.425198, -0.101838, -1.714947
1669186303.200384, 1.460521, -0.135727, -1.757946
1669186303.301059, 1.477524, -0.191498, -1.816944
1669186303.401071, 1.514163, -0.147733, -1.894943
1669186303.503042, 1.532859, -0.103663, -1.999943
1669186303.602036, 1.587442, -0.060202, -2.036942
1669186303.702036, 1.668752, -0.028290, -2.099939
1669186303.803030, 1.740903, -0.007320, -2.196937
1669186303.903056, 1.821085, -0.041969, -2.341934
1669186304.003048, 1.865003, -0.098197, -2.422931
1669186304.101126, 1.908734, -0.165518, -2.547929
1669186304.202030, 1.924985, -0.265664, -2.648927
1669186304.302240, 1.897129, -0.320675, -2.644928
1669186304.400368, 1.931700, -0.398938, -2.722926
